2019-05-07 13:14:50,840 - INFO - market_maker - run_loop - MarketReport -{'last': 5897.0, 'buy': 5897.0, 'sell': 5897.5, 'mid': 5897.0, 'tickLog': 1, 'pos': 280, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5897.5, 'last_aft': 5897.5, 'atr': 4.975, 'sma': 5894.925}
2019-05-07 13:15:01,031 - INFO - market_maker - run_loop - MarketReport -{'last': 5897.0, 'buy': 5897.0, 'sell': 5897.5, 'mid': 5897.0, 'tickLog': 1, 'pos': 400, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5897.0, 'last_aft': 5897.0, 'atr': 4.725, 'sma': 5894.85}
2019-05-07 13:15:11,130 - INFO - market_maker - run_loop - MarketReport -{'last': 5896.0, 'buy': 5896.0, 'sell': 5896.5, 'mid': 5896.0, 'tickLog': 1, 'pos': 620, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5896.0, 'last_aft': 5896.0, 'atr': 4.725, 'sma': 5894.85}
2019-05-07 13:15:20,598 - INFO - market_maker - run_loop - MarketReport -{'last': 5895.5, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': 660, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5895.5, 'last_aft': 5895.5, 'atr': 4.725, 'sma': 5894.85}
2019-05-07 13:15:30,615 - INFO - market_maker - run_loop - MarketReport -{'last': 5896.0, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': 880, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5896.0, 'last_aft': 5896.0, 'atr': 4.725, 'sma': 5894.85}
2019-05-07 13:15:40,620 - INFO - market_maker - run_loop - MarketReport -{'last': 5896.0, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': 880, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5895.5, 'last_aft': 5895.5, 'atr': 4.725, 'sma': 5894.85}
2019-05-07 13:15:50,612 - INFO - market_maker - run_loop - MarketReport -{'last': 5895.5, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': 880, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5895.5, 'last_aft': 5895.5, 'atr': 4.725, 'sma': 5894.85}
2019-05-07 13:16:00,926 - INFO - market_maker - run_loop - MarketReport -{'last': 5895.5, 'buy': 5895.5, 'sell': 5896.0, 'mid': 5896.0, 'tickLog': 1, 'pos': 900, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5896.0, 'last_aft': 5896.0, 'atr': 4.825, 'sma': 5894.7}
2019-05-07 13:16:10,597 - INFO - market_maker - run_loop - MarketReport -{'last': 5894.5, 'buy': 5894.5, 'sell': 5895.0, 'mid': 5895.0, 'tickLog': 1, 'pos': 1180, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5894.5, 'last_aft': 5894.5, 'atr': 4.825, 'sma': 5894.7}
2019-05-07 13:16:20,653 - INFO - market_maker - run_loop - MarketReport -{'last': 5894.5, 'buy': 5894.5, 'sell': 5895.0, 'mid': 5895.0, 'tickLog': 1, 'pos': 1180, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5894.5, 'last_aft': 5894.5, 'atr': 4.825, 'sma': 5894.7}
2019-05-07 13:16:30,922 - INFO - market_maker - run_loop - MarketReport -{'last': 5893.5, 'buy': 5894.0, 'sell': 5894.5, 'mid': 5894.0, 'tickLog': 1, 'pos': 1440, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5894.0, 'last_aft': 5894.0, 'atr': 4.825, 'sma': 5894.7}
2019-05-07 13:16:40,648 - INFO - market_maker - run_loop - MarketReport -{'last': 5893.5, 'buy': 5893.5, 'sell': 5894.0, 'mid': 5894.0, 'tickLog': 1, 'pos': 1500, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5893.5, 'last_aft': 5893.5, 'atr': 4.825, 'sma': 5894.7}
2019-05-07 13:16:51,186 - INFO - market_maker - run_loop - MarketReport -{'last': 5894.0, 'buy': 5893.5, 'sell': 5894.0, 'mid': 5894.0, 'tickLog': 1, 'pos': 1500, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5893.5, 'last_aft': 5893.5, 'atr': 4.825, 'sma': 5894.7}
2019-05-07 13:17:00,660 - INFO - market_maker - run_loop - MarketReport -{'last': 5894.0, 'buy': 5893.5, 'sell': 5894.0, 'mid': 5894.0, 'tickLog': 1, 'pos': 1480, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5894.0, 'last_aft': 5894.0, 'atr': 4.55, 'sma': 5894.825}
2019-05-07 13:17:11,430 - INFO - market_maker - run_loop - MarketReport -{'last': 5894.0, 'buy': 5893.5, 'sell': 5894.0, 'mid': 5894.0, 'tickLog': 1, 'pos': 1300, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5894.0, 'last_aft': 5894.0, 'atr': 4.55, 'sma': 5894.825}
